Site,Transect,Interval,Quadrat,Wetness,Ci,Mp,Op,Da
CopeHut,3,550,589,83.33333333,0,0,70,10
CopeHut,3,560,590,83.33333333,0,0,100,10
CopeHut,3,570,591,83.33333333,0,0,60,20
CopeHut,3,580,592,83.33333333,0,0,10,0
CopeHut,3,590,593,83.33333333,40,0,50,0
CopeHut,3,600,594,83.33333333,0,0,80,10
CopeHut,3,610,595,83.33333333,0,0,60,5
CopeHut,3,620,596,83.33333333,20,0,80,10
CopeHut,3,630,597,83.33333333,30,0,70,0
CopeHut,3,640,598,83.33333333,0,0,90,20
CopeHut,3,650,599,83.33333333,20,0,90,20
CopeHut,3,660,600,83.33333333,10,0,90,0
CopeHut,3,670,601,83.33333333,5,0,40,0
CopeHut,3,680,602,83.33333333,2.5,0,60,2.5
CopeHut,3,690,603,83.33333333,10,0,60,20
CopeHut,3,700,604,83.33333333,0,0,60,0
CopeHut,3,710,605,83.33333333,0,0,30,20
CopeHut,3,720,606,83.33333333,0,0,0,20
CopeHut,3,730,607,83.33333333,0,0,90,40
CopeHut,3,740,608,100,0,0,40,40
CopeHut,3,750,609,100,0,0,40,10
CopeHut,3,760,610,100,20,0,50,0
CopeHut,3,770,611,100,40,0,60,0
CopeHut,3,780,612,100,0,0,90,20
CopeHut,3,790,613,100,10,0,70,30
CopeHut,3,800,614,100,0,0,0,20
CopeHut,3,810,615,100,20,0,100,40
CopeHut,3,820,616,100,0,0,100,0
CopeHut,3,830,617,100,0,0,60,5
CopeHut,3,840,618,100,0,0,50,0
CopeHut,3,850,619,100,0,0,50,0
CopeHut,3,860,620,100,30,0,40,0
CopeHut,3,870,621,100,50,0,60,0
CopeHut,3,880,622,100,10,0,30,0
CopeHut,3,890,623,100,50,0,0,0
CopeHut,3,900,624,100,80,0,0,0
CopeHut,3,910,625,100,50,0,0,0
CopeHut,3,920,626,100,5,0,0,0
CopeHut,3,930,627,100,0,0,0,0
CopeHut,3,940,628,100,0,0,0,0
NelseA,1,10,629,66.66666667,50,0,0,70
NelseA,1,20,630,66.66666667,0,5,0,0
NelseA,1,30,631,83.33333333,10,2.5,0,5
NelseA,1,40,632,83.33333333,10,2.5,0,0
NelseA,1,50,633,83.33333333,10,0,0,2.5
NelseA,1,60,634,83.33333333,70,2.5,0,0
NelseA,1,70,635,83.33333333,60,0,0,0
NelseA,1,80,636,83.33333333,20,0,0,0
NelseA,1,90,637,83.33333333,10,0,0,0
NelseA,1,100,638,83.33333333,60,0,0,0
NelseA,1,110,639,100,5,0,0,0
NelseA,1,120,640,100,5,0,0,0
NelseA,1,130,641,100,5,0,0,0
NelseA,1,140,642,100,10,0,0,0
NelseA,1,150,643,100,10,0,0,0
NelseA,1,160,644,100,70,0,0,0
NelseA,1,170,645,100,30,0,0,0
NelseA,1,180,646,100,20,0,0,0
NelseA,1,190,647,100,5,0,0,0
NelseA,1,200,648,100,0,0,0,0
NelseA,1,210,649,100,0,0,0,0
NelseA,1,220,650,100,0,0,0,0
NelseA,1,230,651,100,0,0,0,0
NelseA,1,240,652,100,0,0,0,0
NelseA,1,250,653,100,0,0,0,0
NelseA,1,260,654,100,0,0,0,0
NelseA,1,270,655,100,0,0,0,0
NelseA,1,280,656,100,0,0,0,0
NelseA,1,290,657,100,10,0,0,0
NelseA,1,300,658,100,60,0,0,0
NelseA,1,310,659,100,70,0,0,0
NelseA,1,320,660,100,60,0,0,0
NelseA,1,330,661,100,40,0,0,0
NelseA,1,340,662,100,20,0,0,0
NelseA,1,350,663,100,30,0,0,0
NelseA,1,360,664,100,40,0,0,0
NelseA,1,370,665,100,0,0,0,0
NelseA,1,380,666,100,40,0,0,0
NelseA,1,390,667,100,60,0,0,0
NelseA,1,400,668,100,10,0,0,0
NelseA,1,410,669,100,10,0,0,0
NelseA,1,420,670,100,20,0,0,0
NelseA,1,430,671,100,20,0,0,0
NelseA,1,440,672,100,5,0,0,0
NelseA,1,450,673,100,90,0,0,0
NelseA,1,460,674,100,30,0,0,0
NelseA,1,470,675,100,5,0,0,0
NelseA,1,480,676,100,20,0,0,0
NelseA,1,490,677,100,10,0,0,0
NelseA,1,500,678,100,70,0,0,0
NelseA,1,510,679,100,30,0,0,0
NelseA,1,520,680,100,2.5,0,0,0
NelseA,1,530,681,100,30,0,0,0
NelseA,1,540,682,100,50,0,0,0
NelseA,1,550,683,100,40,0,0,0
NelseA,1,560,684,100,0,0,0,0
NelseA,1,570,685,100,10,0,0,0
NelseA,1,580,686,100,0,0,0,0
NelseA,1,590,687,100,0,0,0,0
NelseA,1,600,688,100,0,0,0,0
NelseA,1,610,689,100,2.5,0,0,0
NelseA,1,620,690,100,2.5,0,0,0
NelseA,1,630,691,100,10,0,0,0
NelseA,1,640,692,100,2.5,0,0,0
NelseA,1,650,693,100,0,0,0,0
NelseA,1,660,694,100,0,0,0,0
NelseA,1,670,695,100,0,0,0,0
NelseA,1,680,696,100,2.5,0,0,0
NelseA,1,690,697,100,0,0,0,0
NelseA,1,700,698,100,30,0,0,0
NelseA,1,710,699,100,0,0,0,0
NelseA,1,720,700,100,0,0,0,0
NelseA,1,730,701,100,0,0,0,0
NelseA,1,740,702,100,30,0,0,0
NelseA,1,750,703,100,70,0,0,0
NelseA,1,760,704,100,30,0,0,0
NelseA,1,770,705,100,0,0,0,0
NelseA,1,780,706,100,10,0,0,0
NelseA,1,790,707,100,50,0,0,0
NelseA,1,800,708,100,2.5,0,0,0
NelseA,1,810,709,100,2.5,0,0,0
NelseA,1,820,710,100,50,0,0,0
NelseA,1,830,711,100,20,0,0,0
NelseA,1,840,712,100,0,0,0,0
NelseA,1,850,713,100,10,0,0,0
NelseA,1,860,714,100,90,0,0,0
NelseA,1,870,715,100,30,0,0,0
NelseA,1,880,716,100,5,0,0,0
NelseA,1,890,717,100,10,0,0,0
NelseA,1,900,718,100,80,0,0,0
NelseA,1,910,719,100,60,0,0,0
NelseA,1,920,720,100,40,0,0,0
NelseA,1,930,721,100,2.5,0,0,0
NelseA,1,940,722,100,2.5,0,0,0
NelseA,1,950,723,100,10,0,0,0
NelseA,1,960,724,100,10,0,0,0
NelseA,1,970,725,100,90,0,0,0
NelseA,1,980,726,100,100,0,0,0
NelseA,1,990,727,100,40,0,0,0
NelseA,1,1000,728,100,30,0,0,0
NelseA,1,1010,729,100,80,0,0,0
NelseA,1,1020,730,100,90,0,0,0
NelseA,1,1030,731,100,5,0,0,0
NelseA,1,1040,732,100,0,0,0,0
NelseA,1,1050,733,100,0,0,0,0
NelseA,1,1060,734,100,0,0,0,0
NelseA,1,1070,735,100,60,0,0,0
NelseA,1,1080,736,100,70,0,0,0
NelseA,1,1090,737,100,20,0,0,0
NelseA,1,1100,738,100,100,0,0,0
NelseA,1,1110,739,100,50,0,0,0
NelseA,1,1120,740,100,5,0,0,0
NelseA,1,1130,741,100,10,0,0,0
NelseA,1,1140,742,100,5,0,0,0
NelseA,1,1150,743,100,60,0,0,0
NelseA,1,1160,744,100,60,0,0,0
NelseA,1,1170,745,100,20,0,0,0
NelseA,1,1180,746,100,2.5,0,0,0
NelseA,1,1190,747,100,0,0,0,0
NelseA,1,1200,748,100,90,0,0,0
NelseA,1,1210,749,100,2.5,0,0,0
NelseA,1,1220,750,100,50,0,0,0
NelseA,1,1230,751,100,20,0,0,0
NelseA,1,1240,752,100,70,0,0,0
NelseA,1,1250,753,83.33333333,10,0,0,0
NelseA,1,1260,754,83.33333333,2.5,0,2.5,0
NelseA,1,1270,755,83.33333333,5,0,20,0
NelseA,1,1280,756,83.33333333,2.5,0,0,0
NelseA,1,1290,757,83.33333333,5,0,0,0
NelseA,1,1300,758,83.33333333,40,0,5,5
NelseA,1,1310,759,83.33333333,2.5,0,60,0
NelseA,1,1320,760,83.33333333,10,0,50,5
NelseA,1,1330,761,83.33333333,20,0,10,5
NelseA,1,1340,762,83.33333333,0,0,10,2.5
NelseA,1,1350,763,83.33333333,2.5,5,5,0
NelseA,1,1360,764,83.33333333,10,0,10,0
NelseA,1,1370,765,83.33333333,0,0,60,20
NelseA,1,1380,766,83.33333333,2.5,60,2.5,0
NelseA,1,1390,767,83.33333333,0,40,0,0
NelseA,1,1400,768,83.33333333,10,0,90,0
NelseA,1,1410,769,83.33333333,10,0,100,0
NelseA,1,1420,770,83.33333333,5,0,100,2.5
NelseA,1,1430,771,83.33333333,40,0,60,10
NelseA,1,1440,772,100,0,20,5,0
NelseA,1,1450,773,83.33333333,5,10,40,0
NelseA,1,1460,774,83.33333333,10,0,70,0
NelseA,1,1470,775,100,20,0,40,0
NelseA,1,1480,776,100,40,0,20,0
NelseA,1,1490,777,100,20,0,100,0
NelseA,1,1500,778,100,20,0,20,0
NelseA,1,1510,779,100,10,0,60,0
NelseA,1,1520,780,100,0,0,100,0
NelseA,1,1530,781,100,10,0,60,0
NelseA,1,1540,782,100,5,0,60,0
NelseA,1,1550,783,100,20,0,10,0
NelseA,1,1560,784,100,10,2.5,0,0
NelseA,1,1570,785,100,0,50,0,0
NelseA,1,1580,786,100,2.5,70,5,0
NelseA,1,1590,787,100,0,60,0,0
NelseA,1,1600,788,100,0,70,0,0
NelseA,1,1610,789,100,10,60,0,0
NelseA,1,1620,790,100,0,30,0,0
NelseA,1,1630,791,100,0,70,0,0
NelseA,1,1640,792,100,0,70,0,0
NelseA,1,1650,793,100,0,60,0,0
NelseA,1,1660,794,100,20,0,0,0
NelseA,1,1670,795,100,2.5,30,0,0
NelseA,1,1680,796,100,20,40,0,0
NelseA,1,1690,797,100,20,20,0,0
NelseA,1,1700,798,100,0,10,0,0
NelseA,1,1710,799,100,0,0,0,0
NelseA,1,1720,800,100,0,0,0,0
NelseA,1,1730,801,100,0,0,0,0
NelseA,1,1740,802,100,0,0,0,0
NelseA,1,1750,803,100,40,0,0,0
NelseA,1,1760,804,100,50,0,0,0
NelseA,1,1770,805,100,10,0,0,0
NelseA,1,1780,806,100,0,0,0,0
NelseA,1,1790,807,100,0,0,0,0
NelseA,1,1800,808,100,0,0,0,0
NelseA,1,1810,809,100,0,0,0,0
NelseA,1,1820,810,100,0,0,0,0
NelseA,2,10,811,16.66666667,2.5,0,5,0
NelseA,2,20,812,16.66666667,0,0,100,0
NelseA,2,30,813,16.66666667,20,0,5,0
NelseA,2,40,814,16.66666667,0,0,30,0
NelseA,2,50,815,33.33333333,40,0,10,0
NelseA,2,60,816,33.33333333,20,0,0,0
NelseA,2,70,817,33.33333333,0,0,5,0
NelseA,2,80,818,33.33333333,10,0,5,0
NelseA,2,90,819,33.33333333,20,0,0,0
NelseA,2,100,820,33.33333333,2.5,0,0,0
NelseA,2,110,821,33.33333333,70,0,0,0
NelseA,2,120,822,33.33333333,5,0,0,0
NelseA,2,130,823,50,10,0,0,0
NelseA,2,140,824,66.66666667,40,0,0,0
NelseA,2,150,825,66.66666667,10,0,0,0
NelseA,2,160,826,66.66666667,5,0,0,0
NelseA,2,170,827,66.66666667,10,0,0,0
NelseA,2,180,828,66.66666667,60,0,0,0
NelseA,2,190,829,66.66666667,2.5,0,0,0
NelseA,2,200,830,66.66666667,0,0,0,0
NelseA,2,210,831,66.66666667,5,0,0,0
NelseA,2,220,832,66.66666667,0,0,0,0
NelseA,2,230,833,66.66666667,2.5,0,0,0
NelseA,2,240,834,66.66666667,30,0,0,0
NelseA,2,250,835,66.66666667,30,0,0,0
NelseA,2,260,836,66.66666667,30,0,0,0
NelseA,2,270,837,66.66666667,10,0,0,0
NelseA,2,280,838,66.66666667,70,0,0,0
NelseA,2,290,839,83.33333333,10,0,0,0
NelseA,2,300,840,83.33333333,2.5,0,0,0
NelseA,2,310,841,83.33333333,20,0,0,0
NelseA,2,320,842,83.33333333,20,0,0,0
NelseA,2,330,843,83.33333333,30,0,0,0
NelseA,2,340,844,83.33333333,20,0,0,0
NelseA,2,350,845,83.33333333,10,0,0,0
NelseA,2,360,846,83.33333333,2.5,0,0,0
NelseA,2,370,847,83.33333333,5,0,0,0
NelseA,2,380,848,83.33333333,20,0,0,0
NelseA,2,390,849,100,10,0,0,0
NelseA,2,400,850,100,2.5,0,0,0
NelseA,2,410,851,100,50,0,0,0
NelseA,2,420,852,100,5,0,0,0
NelseA,2,430,853,100,20,0,0,0
NelseA,2,440,854,100,0,0,0,0
NelseA,2,450,855,100,2.5,0,0,0
NelseA,2,460,856,100,2.5,0,0,0
NelseA,2,470,857,100,20,0,0,0
NelseA,2,480,858,100,2.5,0,0,0
NelseA,2,490,859,100,0,0,0,0
NelseA,2,500,860,100,5,0,0,0
NelseA,2,510,861,100,2.5,0,0,0
NelseA,2,520,862,100,0,0,0,0
NelseA,2,530,863,100,40,0,0,0
NelseA,2,540,864,100,60,0,0,0
NelseA,2,550,865,100,30,0,0,0
NelseA,2,560,866,100,90,0,0,0
NelseA,2,570,867,100,70,0,0,0
NelseA,2,580,868,100,60,2.5,0,0
NelseA,2,590,869,100,30,2.5,0,0
NelseA,2,600,870,100,30,0,0,0
NelseA,2,610,871,100,30,0,0,0
NelseA,2,620,872,100,60,0,0,0
NelseA,2,630,873,100,80,0,0,0
NelseA,2,640,874,100,50,0,0,0
NelseA,2,650,875,100,20,0,0,0
NelseA,2,660,876,100,5,0,0,0
NelseA,2,670,877,100,0,0,0,0
NelseA,2,680,878,100,50,0,0,0
NelseA,2,690,879,100,70,0,0,0
NelseA,2,700,880,100,20,0,0,0
NelseA,2,710,881,100,20,0,0,0
NelseA,2,720,882,100,40,0,0,0
NelseA,2,730,883,100,10,0,0,0
NelseA,2,740,884,100,70,0,0,0
NelseA,2,750,885,100,70,0,0,0
NelseA,2,760,886,100,90,0,0,0
NelseA,2,770,887,100,60,0,0,0
NelseA,2,780,888,83.33333333,30,0,0,0
NelseA,2,790,889,83.33333333,5,0,0,0
NelseA,3,10,890,33.33333333,5,0,30,0
NelseA,3,20,891,33.33333333,0,0,80,0
NelseA,3,30,892,33.33333333,0,0,40,0
NelseA,3,40,893,66.66666667,0,0,30,0
NelseA,3,50,894,83.33333333,20,0,50,0
NelseA,3,60,895,83.33333333,2.5,10,0,0
NelseA,3,70,896,83.33333333,20,30,5,0
NelseA,3,80,897,66.66666667,20,0,30,0
NelseA,3,90,898,66.66666667,20,0,30,0
NelseA,3,100,899,100,10,0,0,0
NelseA,3,110,900,100,70,0,0,0
NelseA,3,120,901,100,90,0,0,0
NelseA,3,130,902,100,40,0,0,0
NelseA,3,140,903,100,30,0,0,0
NelseA,3,150,904,100,30,0,0,0
NelseA,3,160,905,100,20,0,0,0
NelseA,3,170,906,100,30,0,0,0
NelseA,3,180,907,66.66666667,30,0,20,0
NelseA,3,190,908,66.66666667,30,0,60,0
NelseA,3,200,909,66.66666667,10,0,60,0
NelseA,3,210,910,66.66666667,20,0,50,0
NelseA,3,220,911,66.66666667,30,0,0,0
NelseA,3,230,912,83.33333333,60,0,0,0
NelseA,3,240,913,83.33333333,5,0,0,0
NelseA,3,250,914,83.33333333,10,0,0,0
NelseA,3,260,915,83.33333333,60,0,0,0
NelseA,3,270,916,83.33333333,10,0,0,0
NelseA,3,280,917,83.33333333,80,0,0,0
NelseA,3,290,918,100,10,0,0,0
NelseA,3,300,919,100,20,0,0,0
NelseA,3,310,920,100,30,0,0,0
NelseA,3,320,921,100,30,0,0,0
NelseA,3,330,922,100,40,0,0,0
NelseA,3,340,923,100,20,0,0,0
NelseA,3,350,924,100,20,0,0,0
NelseA,3,360,925,100,10,0,0,0
NelseA,3,370,926,100,5,0,0,0
NelseA,3,380,927,100,2.5,0,0,0
NelseA,3,390,928,100,0,0,5,0
NelseA,3,400,929,100,0,0,100,0
NelseA,3,410,930,100,2.5,0,90,0
NelseA,3,420,931,100,20,0,2.5,0
NelseA,3,430,932,100,60,0,0,0
NelseA,3,440,933,100,20,0,40,0
NelseA,3,450,934,100,5,0,40,0
NelseA,3,460,935,100,10,0,0,0
NelseA,3,470,936,100,0,0,0,0
NelseA,3,480,937,100,0,0,0,0
NelseA,3,490,938,100,2.5,0,0,0
NelseA,3,500,939,83.33333333,60,0,0,0
NelseA,3,510,940,83.33333333,30,0,0,0
NelseA,3,520,941,83.33333333,0,0,0,0
NelseA,3,530,942,83.33333333,0,0,0,0
NelseA,3,540,943,66.66666667,40,0,0,0
NelseA,3,550,944,50,30,0,5,0
NelseA,3,560,945,50,0,0,2.5,0
NelseA,3,570,946,50,2.5,0,0,0
NelseA,3,580,947,50,10,0,30,0
NelseA,3,590,948,50,30,0,5,0
NelseA,3,600,949,50,10,0,0,0
NelseA,3,610,950,50,0,0,80,0
NelseA,3,620,951,50,0,0,100,0
NelseA,3,630,952,50,2.5,0,30,0
NelseA,3,640,953,66.66666667,5,0,40,0
NelseA,3,650,954,66.66666667,5,0,60,0
NelseA,3,660,955,66.66666667,2.5,0,40,0
NelseA,3,670,956,66.66666667,5,0,20,0
NelseA,3,680,957,50,0,0,100,0
NelseA,3,690,958,50,0,0,80,0
NelseA,3,700,959,100,2.5,0,0,0
NelseA,3,710,960,100,20,0,0,0
NelseA,3,720,961,100,0,0,0,0
NelseA,3,730,962,83.33333333,20,0,0,0
NelseA,3,740,963,83.33333333,30,0,20,0
NelseA,3,750,964,83.33333333,0,0,100,0
NelseA,3,760,965,83.33333333,20,0,60,0
NelseA,3,770,966,100,0,0,80,0
NelseA,3,780,967,100,30,0,0,0
NelseA,3,790,968,100,10,0,5,0
NelseA,3,800,969,100,2.5,0,90,0
NelseA,3,810,970,100,2.5,0,30,0
NelseA,3,820,971,100,2.5,0,5,0
NelseA,3,830,972,100,0,0,90,0
NelseA,3,840,973,100,70,0,5,0
NelseA,3,850,974,100,40,0,0,0
NelseA,3,860,975,100,60,0,0,0
NelseA,3,870,976,100,40,0,0,0
NelseA,3,880,977,100,50,0,0,0
NelseA,3,890,978,100,50,0,0,0
NelseA,3,900,979,100,0,0,0,0
NelseA,3,910,980,100,0,0,0,0
NelseA,3,920,981,100,5,0,0,0
NelseA,3,930,982,100,20,0,80,0
NelseA,3,940,983,83.33333333,5,0,70,10
NelseA,3,950,984,83.33333333,10,0,70,5
NelseA,3,960,985,83.33333333,40,0,60,5
NelseA,3,970,986,100,40,0,10,0
NelseA,3,980,987,100,0,0,0,0
NelseA,3,990,988,100,0,0,0,0
NelseA,3,1000,989,100,0,0,0,0
NelseA,3,1010,990,100,10,0,0,0
NelseA,3,1020,991,100,20,0,0,0
NelseA,3,1030,992,100,0,0,0,0
NelseA,3,1040,993,100,0,0,0,0
NelseA,3,1050,994,83.3333333,0,0,0,0
NelseA,3,1060,995,83.3333333,0,0,0,0
NelseA,3,1070,996,83.3333333,0,0,0,0
NelseA,3,1080,997,83.3333333,30,0,0,0
NelseA,3,1090,998,83.3333333,10,0,5,0
NelseD,1,10,999,66.66666667,0,0,0,0
NelseD,1,20,1000,66.66666667,10,0,0,0
NelseD,1,30,1001,66.66666667,20,0,0,0
NelseD,1,40,1002,66.66666667,20,0,0,0
NelseD,1,50,1003,66.66666667,20,0,0,0
NelseD,1,60,1004,66.66666667,0,0,0,0
NelseD,1,70,1005,66.66666667,5,0,0,0
NelseD,1,80,1006,83.33333333,0,0,0,0
NelseD,1,90,1007,83.33333333,0,0,0,0
NelseD,1,100,1008,83.33333333,2.5,0,0,0
NelseD,1,110,1009,83.33333333,30,0,0,0
NelseD,1,120,1010,83.33333333,0,0,0,0
NelseD,1,130,1011,83.33333333,5,0,0,0
NelseD,1,140,1012,83.33333333,10,0,0,0
NelseD,1,150,1013,83.33333333,10,0,0,0
NelseD,1,160,1014,83.33333333,10,0,0,0
NelseD,1,170,1015,83.33333333,30,0,0,0
NelseD,1,180,1016,83.33333333,10,0,0,0
NelseD,1,190,1017,83.33333333,0,0,0,0
NelseD,1,200,1018,83.33333333,40,0,0,0
NelseD,1,210,1019,83.33333333,10,0,0,0
NelseD,1,220,1020,83.33333333,10,0,0,0
NelseD,1,230,1021,83.33333333,20,0,0,0
NelseD,1,240,1022,100,20,0,0,0
NelseD,1,250,1023,100,20,0,0,0
NelseD,1,260,1024,100,2.5,0,0,0
NelseD,1,270,1025,100,5,0,0,0
NelseD,1,280,1026,100,10,0,0,0
NelseD,1,290,1027,100,20,0,0,0
NelseD,1,300,1028,100,10,0,0,0
NelseD,1,310,1029,100,30,0,0,0
NelseD,1,320,1030,100,30,0,0,0
NelseD,1,330,1031,100,20,0,0,0
NelseD,1,340,1032,100,30,0,0,0
NelseD,1,350,1033,100,30,0,0,0
NelseD,1,360,1034,100,20,0,0,0
NelseD,1,370,1035,100,50,0,0,0
NelseD,1,380,1036,100,30,0,0,0
NelseD,1,390,1037,100,0,0,0,0
NelseD,1,400,1038,100,0,0,0,0
NelseD,1,410,1039,100,60,0,0,0
NelseD,1,420,1040,100,5,0,0,0
NelseD,1,430,1041,100,20,0,0,0
NelseD,1,440,1042,100,30,0,0,0
NelseD,1,450,1043,100,10,0,0,0
NelseD,1,460,1044,100,60,0,0,0
NelseD,1,470,1045,100,2.5,0,0,0
NelseD,1,480,1046,100,0,0,0,0
NelseD,1,490,1047,100,2.5,0,0,0
NelseD,1,500,1048,100,0,0,0,0
NelseD,1,510,1049,100,0,0,0,0
NelseD,1,520,1050,100,0,0,0,0
NelseD,1,530,1051,100,40,0,0,0
NelseD,1,540,1052,100,2.5,0,0,0
NelseD,1,550,1053,100,0,0,0,0
NelseD,1,560,1054,100,20,0,0,0
NelseD,1,570,1055,100,0,0,0,0
NelseD,1,580,1056,100,0,0,0,0
NelseD,1,590,1057,100,0,0,0,0
NelseD,1,600,1058,100,0,0,0,0
NelseD,1,610,1059,100,0,0,0,0
NelseD,1,620,1060,100,0,0,0,0
NelseD,1,630,1061,100,0,0,0,0
NelseD,1,640,1062,100,0,0,0,0
NelseD,1,650,1063,100,0,0,0,0
NelseD,1,660,1064,100,0,0,0,0
NelseD,1,670,1065,100,0,0,0,0
NelseD,1,680,1066,100,0,0,0,0
NelseD,1,690,1067,100,5,0,0,0
NelseD,1,700,1068,100,0,0,0,0
NelseD,1,710,1069,100,70,0,0,0
NelseD,1,720,1070,100,5,0,0,0
NelseD,1,730,1071,100,20,0,0,0
NelseD,1,740,1072,100,2.5,0,0,0
NelseD,1,750,1073,100,2.5,0,0,0
NelseD,1,760,1074,100,0,0,0,0
NelseD,1,770,1075,100,0,0,0,0
NelseD,1,780,1076,100,0,0,0,0
NelseD,1,790,1077,100,0,0,0,0
NelseD,1,800,1078,100,10,0,0,0
NelseD,1,810,1079,100,50,0,0,0
NelseD,1,820,1080,100,20,0,0,0
NelseD,1,830,1081,100,10,0,0,0
NelseD,1,840,1082,100,20,0,0,0
NelseD,1,850,1083,100,10,0,0,0
NelseD,1,860,1084,100,2.5,0,0,0
NelseD,1,870,1085,100,40,0,0,0
NelseD,1,880,1086,100,20,0,0,0
NelseD,1,890,1087,100,10,0,0,0
NelseD,1,900,1088,100,10,0,0,0
NelseD,2,10,1089,50,20,0,0,0
NelseD,2,20,1090,50,30,0,0,0
NelseD,2,30,1091,50,0,0,0,0
NelseD,2,40,1092,50,2.5,0,0,0
NelseD,2,50,1093,83.33333333,60,0,0,0
NelseD,2,60,1094,83.33333333,40,0,0,0
NelseD,2,70,1095,100,20,0,0,0
NelseD,2,80,1096,100,20,0,0,0
NelseD,2,90,1097,100,0,0,0,0
NelseD,2,100,1098,100,0,0,0,0
NelseD,2,110,1099,100,30,0,0,0
NelseD,2,120,1100,100,40,0,0,0
NelseD,2,130,1101,100,60,0,0,0
NelseD,2,140,1102,100,20,0,0,0
NelseD,2,150,1103,100,70,0,0,0
NelseD,2,160,1104,100,5,0,0,0
NelseD,2,170,1105,100,5,0,0,0
NelseD,2,180,1106,100,50,0,0,0
NelseD,2,190,1107,100,30,0,0,0
NelseD,2,200,1108,100,20,0,0,0
NelseD,2,210,1109,100,20,0,0,0
NelseD,2,220,1110,100,30,0,0,0
NelseD,2,230,1111,100,10,0,0,0
NelseD,2,240,1112,100,40,0,0,0
NelseD,2,250,1113,100,10,0,0,0
NelseD,2,260,1114,100,20,0,0,0
NelseD,2,270,1115,100,20,0,0,0
NelseD,2,280,1116,100,40,0,0,0
NelseD,2,290,1117,100,20,0,0,0
NelseD,2,300,1118,100,50,0,0,0
NelseD,2,310,1119,100,10,0,0,0
NelseD,2,320,1120,100,10,0,0,0
NelseD,2,330,1121,100,2.5,0,0,0
NelseD,2,340,1122,100,0,0,0,0
NelseD,2,350,1123,100,50,0,0,0
NelseD,2,360,1124,100,10,0,0,0
NelseD,2,370,1125,100,2.5,0,0,0
NelseD,2,380,1126,100,2.5,0,0,0
NelseD,2,390,1127,83.33333333,2.5,0,0,0
NelseD,2,400,1128,83.33333333,30,0,0,0
NelseD,2,410,1129,83.33333333,10,0,0,0
NelseD,2,420,1130,83.33333333,20,0,0,0
NelseD,2,430,1131,83.33333333,0,0,0,0
NelseD,2,440,1132,83.33333333,10,0,0,0
NelseD,2,450,1133,83.33333333,20,0,0,0
NelseD,2,460,1134,83.33333333,20,0,0,0
NelseD,2,470,1135,83.33333333,10,0,0,0
NelseD,2,480,1136,83.33333333,0,0,0,0
NelseD,2,490,1137,83.33333333,20,0,0,0
NelseD,2,500,1138,83.33333333,60,0,0,0
NelseD,2,510,1139,83.33333333,60,0,0,0
NelseD,2,520,1140,100,30,0,0,0
NelseD,2,530,1141,100,2.5,0,0,0
NelseD,2,540,1142,100,2.5,0,0,0
NelseD,2,550,1143,100,0,0,0,0
NelseD,2,560,1144,100,60,0,0,0
NelseD,2,570,1145,100,0,0,0,0
NelseD,2,580,1146,100,0,0,0,0
NelseD,2,590,1147,100,50,0,0,0
NelseD,2,600,1148,100,40,0,0,0
NelseD,2,610,1149,100,30,0,0,0
NelseD,2,620,1150,100,60,0,0,0
NelseD,2,630,1151,100,40,0,0,0
NelseD,2,640,1152,100,10,0,0,0
NelseD,2,650,1153,100,0,0,0,0
NelseD,2,660,1154,100,0,0,0,0
NelseD,2,670,1155,100,0,0,0,0
NelseD,2,680,1156,100,0,0,0,0
NelseD,2,690,1157,100,10,0,0,0
NelseD,2,700,1158,100,60,0,0,0
NelseD,2,710,1159,100,80,0,0,0
NelseD,2,720,1160,100,20,0,0,0
NelseD,2,730,1161,100,20,0,0,0
NelseD,2,740,1162,100,20,0,0,0
NelseD,2,750,1163,100,10,0,0,0
NelseD,2,760,1164,100,0,0,0,0
NelseD,2,770,1165,100,20,0,0,0
NelseD,2,780,1166,100,5,0,0,0
NelseD,2,790,1167,100,20,0,0,0
NelseD,2,800,1168,100,60,0,0,0
NelseD,2,810,1169,100,10,0,0,0
NelseD,2,820,1170,100,20,0,0,0
NelseD,2,830,1171,100,40,0,0,0
NelseD,2,840,1172,100,60,0,0,0
NelseD,2,850,1173,100,50,0,0,0
NelseD,2,860,1174,100,60,0,0,0
NelseD,2,870,1175,100,20,0,0,0
NelseD,2,880,1176,100,20,0,0,0
NelseD,2,890,1177,100,0,0,0,0
NelseD,2,900,1178,100,10,0,0,0
NelseD,2,910,1179,100,10,0,0,0
NelseD,2,920,1180,100,60,0,0,0
NelseD,2,930,1181,100,40,0,0,0
NelseD,2,940,1182,100,60,0,0,0
NelseD,2,950,1183,100,70,0,0,0
NelseD,2,960,1184,100,10,0,0,0
NelseD,2,970,1185,100,20,0,0,0
NelseD,2,980,1186,100,50,0,0,0
NelseD,2,990,1187,100,20,0,0,0
NelseD,2,1000,1188,100,20,0,0,0
NelseD,2,1010,1189,100,5,0,0,0
NelseD,2,1020,1190,100,60,0,0,0
NelseD,2,1030,1191,100,40,0,0,0
NelseD,2,1040,1192,100,20,0,0,0
NelseD,2,1050,1193,100,30,0,0,0
NelseD,2,1060,1194,100,0,0,0,0
NelseD,2,1070,1195,100,90,0,0,0
NelseD,2,1080,1196,100,40,0,0,0
NelseD,2,1090,1197,100,0,0,0,0
